entity_type,primary_category,review_count,average_rating,low_score_ratio,high_score_ratio,average_helpful_count,title_count,review_share
game,Strategy,121196,3.073,0.381,0.4387,18.34,33,0.1155
game,Action,107973,3.1361,0.3662,0.4529,126.42,32,0.1029
game,Puzzle,95102,3.2222,0.3488,0.4787,14.77,37,0.0906
game,Role Playing,90307,3.0802,0.3877,0.4412,14.41,32,0.086
game,Simulation,86163,3.0746,0.385,0.4396,55.14,35,0.0821
app,Food & Drink,75346,2.968,0.4233,0.4223,2.63,7,0.0718
app,Entertainment,66376,2.7542,0.4955,0.3527,27.0,6,0.0632
app,Shopping,56736,3.0906,0.3723,0.423,33.99,4,0.0541
app,Productivity,45841,3.0649,0.3931,0.4542,14.52,4,0.0437
app,Finance,34502,2.9499,0.4002,0.4069,9.82,2,0.0329
app,Communication,30000,3.0,0.4,0.4,10.97,2,0.0286
app,Business,29053,3.0115,0.4013,0.4129,6.41,2,0.0277
app,News & Magazines,23735,3.4096,0.2845,0.5665,8.19,2,0.0226
app,Social,19573,3.0939,0.3936,0.4755,6.53,2,0.0186
game,Sports,17166,3.0571,0.3904,0.4226,103.08,6,0.0164
app,Travel & Local,16797,2.2286,0.6744,0.2621,3.56,3,0.016
game,Word,14997,3.0423,0.3864,0.4151,18.93,5,0.0143
app,House & Home,14885,3.0077,0.3954,0.4031,3.22,1,0.0142
game,Card,13643,3.2883,0.3229,0.5016,6.32,5,0.013
app,Education,13603,3.0936,0.3475,0.4411,9.43,1,0.013
game,Adventure,13420,3.7205,0.228,0.6336,28.32,8,0.0128
game,Board,10157,2.9402,0.413,0.3821,218.16,3,0.0097
app,Lifestyle,9380,2.081,0.6397,0.0405,13.59,1,0.0089
app,Health & Fitness,9207,2.9891,0.4524,0.4415,2.89,1,0.0088
app,Sports,8471,3.0045,0.4574,0.4638,1.73,1,0.0081
game,Racing,7582,3.2775,0.3081,0.5109,7.61,3,0.0072
app,Music & Audio,7476,3.702,0.2117,0.6695,2.05,1,0.0071
game,Music,4940,3.0121,0.3927,0.4049,11.69,1,0.0047
app,Weather,4221,4.3113,0.1014,0.8297,1.76,1,0.004
app,Video Players & Editors,1388,1.2327,1.0,0.0,95.59,1,0.0013
game,Casual,273,4.0659,0.1758,0.7216,5.39,3,0.0003
game,Monster,175,3.5943,0.2743,0.5714,2.43,1,0.0002
